,0,1,2,target
1127,205,6,204,65.66844919786097
1128,209,12,210,66.524064171123
1129,211,8,212,66.524064171123
1132,211,2,214,66.31016042780749
1133,207,16,210,66.63101604278074
1134,206,15,209,66.47058823529412
1135,205,9,207,65.98930481283422
1136,195,20,194,65.3475935828877
1137,195,29,195,65.88235294117646
1138,198,6,198,64.97326203208556
1139,200,29,201,66.47058823529412
1140,202,3,203,65.29411764705883
1141,200,20,204,66.14973262032086
1142,199,1,203,65.02673796791444
1143,198,13,202,65.56149732620321
1145,205,22,208,66.7379679144385
1146,208,15,211,66.68449197860963
1149,214,8,215,66.84491978609626
1150,208,22,210,67.00534759358288
1151,201,20,202,66.09625668449198
1152,200,9,201,65.40106951871658
1153,202,20,203,66.20320855614973
1156,210,22,209,67.05882352941177
1157,212,27,211,67.54010695187166
1158,218,2,216,66.79144385026738
1161,224,5,223,67.6470588235294
1162,225,21,226,68.71657754010695
1163,225,22,226,68.77005347593582
1164,224,26,229,69.0909090909091
1165,224,13,229,68.39572192513369
1166,222,0,227,67.48663101604278
1167,218,0,225,67.16577540106952
1169,211,14,224,67.48663101604278
1170,208,9,220,66.84491978609626
1171,213,28,223,68.28877005347593
1174,206,1,222,66.41711229946524
1175,194,3,214,65.45454545454545
1176,185,12,211,65.29411764705883
1177,182,4,212,64.75935828877006
1178,181,16,214,65.45454545454545
1181,193,24,219,66.79144385026738
1182,197,5,220,66.0427807486631
1183,199,4,220,66.09625668449198
1184,196,5,220,65.98930481283422
1185,199,4,221,66.14973262032086
1186,201,29,222,67.6470588235294
1189,214,27,227,68.50267379679144
1190,216,0,224,67.00534759358288
